month,article_count,avg_sentiment,median_sentiment,avg_char_count,avg_word_count,median_word_count
2020-01-01,31,0.5333903225806451,0.9972,15255.677419354839,2732.8709677419356,1378.0
2020-02-01,25,0.6015999999999999,0.9989,19627.2,3525.92,2103.0
2020-03-01,23,0.48939565217391306,0.9995,35103.04347826087,6179.869565217391,1816.0
2020-04-01,28,0.49923214285714285,0.997,37366.857142857145,6646.607142857143,2241.5
2020-05-01,24,0.6566416666666667,0.9979,23871.208333333332,4179.791666666667,1143.5
2020-06-01,28,0.018185714285714284,0.118,23096.64285714286,4032.1785714285716,1548.5
2020-07-01,17,0.6393352941176471,0.9948,14698.058823529413,2650.470588235294,1392.0
2020-08-01,32,0.723784375,0.9984999999999999,24513.9375,4463.46875,1649.5
2020-09-01,26,0.3480884615384615,0.9941,24115.76923076923,4301.153846153846,1648.5
2020-10-01,18,0.6304222222222222,0.99805,23286.11111111111,4142.388888888889,1324.0
2020-11-01,28,0.714857142857143,0.99785,18974.5,3459.285714285714,1747.5
2020-12-01,31,0.47538709677419355,0.9949,16158.129032258064,2858.5806451612902,1290.0
2021-01-01,25,0.292104,0.959,27681.48,4763.4,1310.0
2021-02-01,23,0.6510347826086956,0.9983,28766.391304347828,5039.478260869565,2915.0
2021-03-01,30,0.47331666666666666,0.98895,17287.066666666666,3142.4666666666667,1488.5
2021-04-01,28,0.63495,0.99825,21439.39285714286,3844.75,1355.0
2021-05-01,52,0.5487403846153847,0.99865,21996.0,3972.769230769231,1477.5
2021-06-01,45,0.5749022222222222,0.9944,21858.155555555557,3870.088888888889,1319.0
2021-07-01,44,0.5208022727272726,0.99105,18840.5,3314.2954545454545,1385.5
2021-08-01,49,0.46063265306122453,0.994,21169.326530612245,3690.918367346939,1497.0
2021-09-01,55,0.43150727272727274,0.9954,20717.054545454546,3643.8,1279.0
2021-10-01,54,0.3646222222222222,0.9522999999999999,15233.611111111111,2641.3518518518517,1122.5
2021-11-01,45,0.696251111111111,0.9974,23621.17777777778,4125.266666666666,1249.0
2021-12-01,30,0.43507666666666667,0.9935499999999999,16630.233333333334,2908.6666666666665,1192.5
2022-01-01,39,0.7670615384615385,0.9971,20086.17948717949,3569.8205128205127,1258.0
2022-02-01,34,0.38270882352941177,0.988,32064.029411764706,5634.64705882353,2247.0
2022-03-01,38,-0.17163684210526314,-0.8889,17493.0,3059.342105263158,1076.5
2022-04-01,35,0.3065142857142857,0.9627,17204.02857142857,3086.4,1309.0
2022-05-01,32,0.521603125,0.9956,21971.1875,3988.5625,1259.0
2022-06-01,38,0.31725789473684207,0.9876,18160.315789473683,3281.842105263158,1272.0
2022-07-01,53,0.5921962264150943,0.9956,14916.056603773584,2688.2264150943397,1188.0
2022-08-01,43,0.368246511627907,0.9856,13754.418604651162,2390.906976744186,1085.0
2022-09-01,30,0.5236366666666666,0.9977,17887.7,3133.5666666666666,1267.0
2022-10-01,36,0.6074777777777778,0.99545,20304.472222222223,3566.3055555555557,1492.5
2022-11-01,38,0.30769736842105266,0.9783,17549.342105263157,3091.184210526316,1250.5
2022-12-01,30,0.5371533333333333,0.99235,16070.566666666668,2834.3333333333335,1288.5
2023-01-01,25,0.440908,0.9855,14111.64,2493.2,987.0
2023-02-01,29,0.7457827586206897,0.9962,23359.51724137931,4113.068965517241,1151.0
2023-03-01,40,0.9233525,0.99815,19566.775,3447.95,1329.5
2023-04-01,24,0.6585916666666667,0.994,13446.708333333334,2331.5416666666665,1360.5
2023-05-01,49,0.5863102040816326,0.9961,15015.877551020409,2655.0,1012.0
2023-06-01,28,0.6424178571428572,0.9983,19703.25,3504.5,1191.5
2023-07-01,36,0.423,0.9963500000000001,18960.0,3437.1944444444443,1361.5
2023-08-01,39,0.7860076923076923,0.9934,12645.923076923076,2226.076923076923,916.0
2023-09-01,47,0.43434893617021275,0.9887,17863.55319148936,3191.276595744681,1127.0
2023-10-01,27,0.2596925925925926,0.9953,26894.62962962963,4708.407407407408,1550.0
2023-11-01,36,0.6268083333333334,0.99775,13952.694444444445,2446.1944444444443,1287.0
2023-12-01,33,0.6656727272727272,0.9981,12301.90909090909,2193.090909090909,1363.0
2024-01-01,30,0.4538933333333333,0.9915,10347.1,1853.0,974.5
2024-02-01,41,0.5555634146341463,0.9947,19914.219512195123,3473.1463414634145,1331.0
2024-03-01,31,0.7962193548387096,0.9992,26980.064516129034,4830.258064516129,4197.0
2024-04-01,30,0.6517,0.99625,17280.666666666668,3033.9,1017.0
2024-05-01,42,0.6800952380952381,0.99565,13779.714285714286,2410.8809523809523,1183.5
2024-06-01,31,0.815758064516129,0.9977,15782.290322580646,2787.451612903226,1411.0
2024-07-01,42,0.8034357142857144,0.9984,17931.809523809523,3235.9285714285716,1467.5
2024-08-01,32,0.550934375,0.9919,13062.0625,2305.46875,1105.5
2024-09-01,32,0.675878125,0.99855,19074.25,3422.3125,1981.0
2024-10-01,34,0.48215882352941175,0.9955499999999999,20169.676470588234,3599.235294117647,1654.0
2024-11-01,36,0.7128888888888889,0.99725,31220.11111111111,5453.944444444444,1498.0
2024-12-01,27,0.560274074074074,0.9965,18447.925925925927,3293.259259259259,1933.0
2025-01-01,39,0.6398769230769231,0.9947,14040.410256410256,2468.8205128205127,1192.0
2025-02-01,44,0.3542022727272727,0.9939,19429.68181818182,3425.159090909091,1421.0
