metric,mean,median,std,min,max
sentiment,0.5193845618915159,0.9947,0.8037527176752048,-1.0,1.0
article_char_count,18781.92280945758,7555.5,23683.743347095347,168.0,238049.0
article_word_count,3320.894645340751,1329.5,4167.277425352559,25.0,40864.0
