result_id,feature_set,model_name,status,feature_count,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,skip_reason
baseline::logistic_regression,baseline,logistic_regression,ok,14,0.3611111111111111,0.310672514619883,0.3051948051948052,0.4444444444444444,0.4166666666666667,0.3230817023920472,
baseline::xgboost,baseline,xgboost,ok,14,0.3611111111111111,0.3255360623781676,0.2849181469871125,0.3055555555555556,0.3166666666666667,0.21666666666666667,
ai_compact::logistic_regression,ai_compact,logistic_regression,ok,51,0.25,0.2404970760233918,0.2387096774193548,0.3888888888888889,0.31666666666666665,0.315359477124183,
ai_compact::xgboost,ai_compact,xgboost,ok,51,0.25,0.29434697855750486,0.17442719881744273,0.3611111111111111,0.25,0.2634920634920635,
baseline_with_persistence::logistic_regression,baseline_with_persistence,logistic_regression,ok,18,0.3611111111111111,0.3301656920077973,0.323062558356676,0.3055555555555556,0.2833333333333333,0.22922824302134648,
baseline_with_persistence::xgboost,baseline_with_persistence,xgboost,ok,18,0.3611111111111111,0.3255360623781676,0.2787878787878788,0.2777777777777778,0.3,0.19130434782608696,
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ok,55,0.2222222222222222,0.222953216374269,0.21202570757631936,0.25,0.18333333333333335,0.2007469654528478,
ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,ok,55,0.25,0.29434697855750486,0.17442719881744273,0.3055555555555556,0.2388888888888889,0.23544973544973544,
