period_start_year,period_start_month,period_end_month,validation_start_month,validation_end_month,test_start_month,test_end_month,n_rows_total,n_rows_train,n_rows_validation,n_rows_test,result_id,feature_set,model_name,status,feature_count,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,skip_reason,evaluation_split
2021,2021-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,63,39.0,12.0,12.0,naive::previous_month_class,naive,previous_month_class,ok,0.0,0.3333333333333333,0.3444444444444444,0.335978835978836,0.3333333333333333,0.3444444444444444,0.335978835978836,,validation
2021,2021-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,63,39.0,12.0,12.0,naive::train_majority,naive,train_majority,ok,0.0,,,,0.75,0.3333333333333333,0.2857142857142857,,test
2021,2021-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,63,39.0,12.0,12.0,naive::previous_month_class,naive,previous_month_class,ok,0.0,,,,0.75,0.46296296296296297,0.4470588235294118,,test
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,baseline::logistic_regression,baseline,logistic_regression,ok,14.0,0.25,0.2888888888888889,0.2510822510822511,0.0,0.0,0.0,,
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,baseline::xgboost,baseline,xgboost,ok,14.0,0.3333333333333333,0.39999999999999997,0.2490842490842491,0.16666666666666666,0.3703703703703704,0.20000000000000004,,
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,ai_compact::logistic_regression,ai_compact,logistic_regression,ok,51.0,0.3333333333333333,0.39999999999999997,0.26495726495726496,0.08333333333333333,0.037037037037037035,0.06060606060606061,,
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,ai_compact::xgboost,ai_compact,xgboost,ok,51.0,0.25,0.3333333333333333,0.14285714285714285,0.08333333333333333,0.037037037037037035,0.06666666666666667,,
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,baseline_with_persistence::logistic_regression,baseline_with_persistence,logistic_regression,ok,18.0,0.25,0.26111111111111107,0.266955266955267,0.16666666666666666,0.20370370370370372,0.14074074074074075,,
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,baseline_with_persistence::xgboost,baseline_with_persistence,xgboost,ok,18.0,0.3333333333333333,0.39999999999999997,0.2490842490842491,0.16666666666666666,0.3703703703703704,0.17777777777777778,,
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ok,55.0,0.3333333333333333,0.39999999999999997,0.26495726495726496,0.08333333333333333,0.037037037037037035,0.06060606060606061,,
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,ok,55.0,0.25,0.3333333333333333,0.14285714285714285,0.08333333333333333,0.037037037037037035,0.06666666666666667,,
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,naive::train_majority,naive,train_majority,ok,0.0,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333,,validation
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,naive::previous_month_class,naive,previous_month_class,ok,0.0,0.3333333333333333,0.3444444444444444,0.335978835978836,0.3333333333333333,0.3444444444444444,0.335978835978836,,validation
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,naive::train_majority,naive,train_majority,ok,0.0,,,,0.75,0.3333333333333333,0.2857142857142857,,test
2022,2022-01-01,2026-03-01,2024-04-01,2025-03-01,2025-04-01,2026-03-01,51,27.0,12.0,12.0,naive::previous_month_class,naive,previous_month_class,ok,0.0,,,,0.75,0.46296296296296297,0.4470588235294118,,test
2023,2023-01-01,2026-03-01,,,,,39,,,,period::skipped,,,skipped,,,,,,,,"Not enough rows for split. rows=39, required=48",
