result_id,feature_set,model_name,feature_group,feature_count,baseline_macro_f1,importance_mean_sum,positive_importance_sum,mean_importance
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_pressure_direction,13,0.315359477124183,0.04406242643513246,0.0909501374853598,0.0033894174180871123
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_volume,7,0.315359477124183,0.02244479578620555,0.07930138649739761,0.003206399398029364
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_pressure_strength,6,0.315359477124183,0.02554739275676367,0.05152516305043562,0.0042578987927939455
ai_compact::logistic_regression,ai_compact,logistic_regression,supply_chain_index,4,0.315359477124183,-0.012030727353830522,0.02956459835398229,-0.0030076818384576305
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevance,2,0.315359477124183,0.015112971090805682,0.029057525636383263,0.007556485545402841
ai_compact::logistic_regression,ai_compact,logistic_regression,oil_price,4,0.315359477124183,-0.04296387661510829,0.01968298664803354,-0.010740969153777072
ai_compact::logistic_regression,ai_compact,logistic_regression,ppi_history,6,0.315359477124183,-0.015089366593494587,0.01217648828711331,-0.002514894432249098
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_sentiment,6,0.315359477124183,-0.003447500830504418,0.010725320838054697,-0.0005745834717507363
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_coverage,3,0.315359477124183,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_pressure_direction,13,0.2634920634920635,-0.011965065525492587,0.019647219354006134,-0.0009203896558071221
ai_compact::xgboost,ai_compact,xgboost,oil_price,4,0.2634920634920635,0.007429162351637144,0.019457001896026296,0.001857290587909286
ai_compact::xgboost,ai_compact,xgboost,ai_sentiment,6,0.2634920634920635,-0.05822275261968863,0.014205384436676741,-0.009703792103281438
ai_compact::xgboost,ai_compact,xgboost,ai_pressure_strength,6,0.2634920634920635,-0.010717244231066347,0.010308129088616903,-0.0017862073718443912
ai_compact::xgboost,ai_compact,xgboost,ai_relevance,2,0.2634920634920635,0.006614649399674932,0.006614649399674932,0.003307324699837466
ai_compact::xgboost,ai_compact,xgboost,supply_chain_index,4,0.2634920634920635,-0.009857713397102605,0.0023288663238978055,-0.002464428349275651
ai_compact::xgboost,ai_compact,xgboost,ai_volume,7,0.2634920634920635,-0.021866017456386368,0.002180926571170492,-0.003123716779483767
ai_compact::xgboost,ai_compact,xgboost,ai_coverage,3,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ppi_history,6,0.2634920634920635,-0.09587472826255401,0.0,-0.015979121377092335
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_sentiment,6,0.2007469654528478,-0.10874578777785956,0.010707318766445147,-0.018124297962976595
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_pressure_strength,6,0.2007469654528478,-0.1989101250837432,0.004513259686409573,-0.0331516875139572
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,supply_chain_index,4,0.2007469654528478,-0.03632717227861342,0.00444725448831478,-0.009081793069653355
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ppi_history,6,0.2007469654528478,-0.16303812295750508,0.000897489284104778,-0.027173020492917515
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,persistence,4,0.2007469654528478,-0.14055929256535557,0.000875021265253075,-0.03513982314133889
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_coverage,3,0.2007469654528478,0.0,0.0,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_pressure_direction,13,0.2007469654528478,-0.3446631870412828,0.0,-0.026512552849329445
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_relevance,2,0.2007469654528478,-0.06477551004298662,0.0,-0.03238775502149331
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_volume,7,0.2007469654528478,-0.21105015379394068,0.0,-0.030150021970562955
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,oil_price,4,0.2007469654528478,-0.16230691952028314,0.0,-0.040576729880070786
ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,ppi_history,6,0.23544973544973544,0.0444926079499385,0.05872008003466382,0.007415434658323083
ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,supply_chain_index,4,0.23544973544973544,0.054119851817709785,0.054119851817709785,0.013529962954427446
ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,ai_sentiment,6,0.23544973544973544,0.018902921136303732,0.02304302095573569,0.003150486856050622
ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,ai_pressure_direction,13,0.23544973544973544,0.008258805169429832,0.019099797565835182,0.0006352927053407564
ai_compact_with_persistence::xgboost,ai_compact_with_persistence,xgboost,ai_pressure_strength,6,0.23544973544973544,0.00745123409869503,0.013542804859264568,0.001241872349782505
