result_id,feature_set,model_name,feature,feature_group,baseline_macro_f1,importance_mean,importance_std,positive_importance
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevance_weighted_sentiment,ai_sentiment,0.315359477124183,-0.0022610159566681387,0.019503752457991515,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevance_weighted_sentiment_roll_3_mean,ai_sentiment,0.315359477124183,-0.0023023356612444424,0.01979040731397336,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ppi_ma_3,ppi_history,0.315359477124183,-0.0025009072579405137,0.020790671648728224,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevant_article_count_lag_3,ai_volume,0.315359477124183,-0.0025583610522139717,0.035817406479835834,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevance_weighted_pressure_direction_score_lag_3,ai_pressure_direction,0.315359477124183,-0.005137781214081301,0.03147731596702715,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevant_upward_pressure_share_roll_3_mean,ai_pressure_direction,0.315359477124183,-0.0053162649923093296,0.011195382133707407,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevance_weighted_pressure_strength,ai_pressure_strength,0.315359477124183,-0.006576594918453399,0.014788017136189546,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ppi_std_3,ppi_history,0.315359477124183,-0.007071899284399852,0.033010270022223356,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevance_weighted_sentiment_lag_1,ai_sentiment,0.315359477124183,-0.009609470050646534,0.031232134740963802,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,wti_oil_price_pct_change,oil_price,0.315359477124183,-0.013442919355446843,0.03171173361294445,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevant_share,ai_relevance,0.315359477124183,-0.013944554545577581,0.023785711969503045,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,wti_oil_price_pct_change_lag_1,oil_price,0.315359477124183,-0.014399954975402553,0.027375975345132125,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ppi_pct_change_lag_1,ppi_history,0.315359477124183,-0.016187793623294137,0.038492417072627204,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevance_weighted_pressure_strength_lag_1,ai_pressure_strength,0.315359477124183,-0.01814957839460914,0.026268795079683573,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevant_article_count,ai_volume,0.315359477124183,-0.023740370156330133,0.06063241558044303,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevant_article_count_roll_3_std,ai_volume,0.315359477124183,-0.030557859502647954,0.041323766754933315,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,ai_relevant_upward_pressure_share_lag_1,ai_pressure_direction,0.315359477124183,-0.03201643238099468,0.04032916379085847,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,wti_oil_price_lag_1,oil_price,0.315359477124183,-0.03480398893229243,0.03942185514519145,0.0
ai_compact::logistic_regression,ai_compact,logistic_regression,gscpi_lag_1,supply_chain_index,0.315359477124183,-0.04159532570781281,0.030894280670435988,0.0
ai_compact::xgboost,ai_compact,xgboost,wti_oil_price_pct_change,oil_price,0.2634920634920635,0.017419964858989268,0.022373151687018117,0.017419964858989268
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_sentiment_roll_3_std,ai_sentiment,0.2634920634920635,0.010434575300013937,0.026555119233716017,0.010434575300013937
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_upward_pressure_share_roll_3_std,ai_pressure_direction,0.2634920634920635,0.009977480673319996,0.011388151963962428,0.009977480673319996
ai_compact::xgboost,ai_compact,xgboost,ai_high_relevance_share,ai_relevance,0.2634920634920635,0.006614649399674932,0.012439331653670156,0.006614649399674932
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_strength_lag_1,ai_pressure_strength,0.2634920634920635,0.005827054607542419,0.01884185072058302,0.005827054607542419
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_direction_score_lag_3,ai_pressure_direction,0.2634920634920635,0.004859725685761042,0.029520726520603516,0.004859725685761042
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_strength_roll_3_std,ai_pressure_strength,0.2634920634920635,0.004481074481074484,0.014404947874027133,0.004481074481074484
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_sentiment_lag_1,ai_sentiment,0.2634920634920635,0.003770809136662805,0.01293002301785662,0.003770809136662805
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_upward_pressure_share_lag_2,ai_pressure_direction,0.2634920634920635,0.002777777777777768,0.002777777777777768,0.002777777777777768
ai_compact::xgboost,ai_compact,xgboost,ai_enriched_article_count,ai_volume,0.2634920634920635,0.002180926571170492,0.006155497712021304,0.002180926571170492
ai_compact::xgboost,ai_compact,xgboost,wti_oil_price_lag_1,oil_price,0.2634920634920635,0.00203703703703703,0.002677191165703872,0.00203703703703703
ai_compact::xgboost,ai_compact,xgboost,gscpi_lag_1,supply_chain_index,0.2634920634920635,0.0020199208441175833,0.016299611478158407,0.0020199208441175833
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_direction_score_lag_1,ai_pressure_direction,0.2634920634920635,0.0018504863343207177,0.009403026520237993,0.0018504863343207177
ai_compact::xgboost,ai_compact,xgboost,gscpi,supply_chain_index,0.2634920634920635,0.0003089454797802223,0.03784883252526813,0.0003089454797802223
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_upward_pressure_share_roll_3_mean,ai_pressure_direction,0.2634920634920635,0.00018174888282661007,0.007378364771133319,0.00018174888282661007
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_share,ai_relevance,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_article_count,ai_volume,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_strength,ai_pressure_strength,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_upward_pressure_share,ai_pressure_direction,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_downward_pressure_share,ai_pressure_direction,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,wti_oil_price,oil_price,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_no_articles,ai_coverage,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_articles_but_none_relevant,ai_coverage,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_articles_available,ai_coverage,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_article_count_lag_1,ai_volume,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_article_count_lag_2,ai_volume,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_article_count_lag_3,ai_volume,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_direction_score_roll_3_mean,ai_pressure_direction,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_upward_pressure_share_lag_3,ai_pressure_direction,0.2634920634920635,0.0,0.0,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_sentiment,ai_sentiment,0.2634920634920635,-0.0005815142400508187,0.0076261930954885405,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_direction_score_roll_3_std,ai_pressure_direction,0.2634920634920635,-0.000660085172280291,0.002858632957248835,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_direction_score_lag_2,ai_pressure_direction,0.2634920634920635,-0.0009281842818428144,0.008058189828181178,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_article_count_roll_3_mean,ai_volume,0.2634920634920635,-0.0015257782699643174,0.003889986585981948,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_strength_roll_3_mean,ai_pressure_strength,0.2634920634920635,-0.0017724717667996141,0.0058189231886645685,0.0
ai_compact::xgboost,ai_compact,xgboost,ppi_lag_1,ppi_history,0.2634920634920635,-0.0034257177600830707,0.030253688731923883,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_sentiment_lag_3,ai_sentiment,0.2634920634920635,-0.0038327526132404034,0.0012775842044134677,0.0
ai_compact::xgboost,ai_compact,xgboost,gscpi_pct_change,supply_chain_index,0.2634920634920635,-0.004411474890658851,0.029069056266324042,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_upward_pressure_share_lag_1,ai_pressure_direction,0.2634920634920635,-0.0050584471514704,0.005819197077078614,0.0
ai_compact::xgboost,ai_compact,xgboost,ppi_pct_change,ppi_history,0.2634920634920635,-0.006586352015155403,0.04563474665601784,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_strength_lag_2,ai_pressure_strength,0.2634920634920635,-0.00761204466812431,0.028613480755354356,0.0
ai_compact::xgboost,ai_compact,xgboost,gscpi_pct_change_lag_1,supply_chain_index,0.2634920634920635,-0.007775104830341559,0.022030977286331577,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_strength_lag_3,ai_pressure_strength,0.2634920634920635,-0.011640856884759326,0.020799359501224458,0.0
ai_compact::xgboost,ai_compact,xgboost,ppi_pct_change_lag_1,ppi_history,0.2634920634920635,-0.011995782844721902,0.03576673430613636,0.0
ai_compact::xgboost,ai_compact,xgboost,wti_oil_price_pct_change_lag_1,oil_price,0.2634920634920635,-0.012027839544389154,0.04735399857972515,0.0
ai_compact::xgboost,ai_compact,xgboost,ppi_value,ppi_history,0.2634920634920635,-0.013579788968799515,0.03721683027292234,0.0
ai_compact::xgboost,ai_compact,xgboost,ppi_ma_3,ppi_history,0.2634920634920635,-0.0163341072067695,0.02256473426760571,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevant_article_count_roll_3_std,ai_volume,0.2634920634920635,-0.022521165757592543,0.03101270734590563,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_pressure_direction_score,ai_pressure_direction,0.2634920634920635,-0.024965568273905215,0.022796043107491334,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_sentiment_roll_3_mean,ai_sentiment,0.2634920634920635,-0.03288498572648688,0.04917338639911452,0.0
ai_compact::xgboost,ai_compact,xgboost,ai_relevance_weighted_sentiment_lag_2,ai_sentiment,0.2634920634920635,-0.03512888447658727,0.0163799721659359,0.0
ai_compact::xgboost,ai_compact,xgboost,ppi_std_3,ppi_history,0.2634920634920635,-0.04395297946702462,0.014989780938877007,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_relevance_weighted_sentiment_lag_1,ai_sentiment,0.2007469654528478,0.010707318766445147,0.01774354037028345,0.010707318766445147
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_relevance_weighted_pressure_strength,ai_pressure_strength,0.2007469654528478,0.004513259686409573,0.011926150215500744,0.004513259686409573
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,gscpi_pct_change,supply_chain_index,0.2007469654528478,0.0027885726095444718,0.006167635055555184,0.0027885726095444718
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,gscpi,supply_chain_index,0.2007469654528478,0.0016586818787703082,0.028930446425553116,0.0016586818787703082
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ppi_std_3,ppi_history,0.2007469654528478,0.000897489284104778,0.02138499472222113,0.000897489284104778
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,target_class_lag_1_is_low,persistence,0.2007469654528478,0.000875021265253075,0.016848984554361113,0.000875021265253075
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_enriched_article_count,ai_volume,0.2007469654528478,0.0,0.0,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_no_articles,ai_coverage,0.2007469654528478,0.0,0.0,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_articles_but_none_relevant,ai_coverage,0.2007469654528478,0.0,0.0,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_relevant_articles_available,ai_coverage,0.2007469654528478,0.0,0.0,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_relevance_weighted_sentiment_lag_3,ai_sentiment,0.2007469654528478,-0.00020274010549154454,0.010253265682674277,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_relevant_upward_pressure_share_roll_3_mean,ai_pressure_direction,0.2007469654528478,-0.0002772826302238148,0.005725378983775199,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_relevant_downward_pressure_share,ai_pressure_direction,0.2007469654528478,-0.0014012675777381875,0.004156308797839993,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,gscpi_pct_change_lag_1,supply_chain_index,0.2007469654528478,-0.0017806449178998337,0.012579819905386043,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_relevance_weighted_pressure_strength_roll_3_mean,ai_pressure_strength,0.2007469654528478,-0.0031947863320412385,0.012208679339563289,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_relevance_weighted_sentiment_roll_3_mean,ai_sentiment,0.2007469654528478,-0.0033736053343896492,0.011934070338659054,0.0
ai_compact_with_persistence::logistic_regression,ai_compact_with_persistence,logistic_regression,ai_relevance_weighted_sentiment,ai_sentiment,0.2007469654528478,-0.005071740551616726,0.013716154205468005,0.0
