model_name,comparison_type,baseline_feature_set,ai_feature_set,baseline_validation_macro_f1,ai_validation_macro_f1,validation_macro_f1_lift,baseline_test_macro_f1,ai_test_macro_f1,test_macro_f1_lift,baseline_test_accuracy,ai_test_accuracy,test_accuracy_lift
logistic_regression,compact_without_persistence,baseline,ai_compact,0.3051948051948052,0.2387096774193548,-0.06648512777545038,0.3230817023920472,0.315359477124183,-0.007722225267864202,0.4444444444444444,0.3888888888888889,-0.055555555555555525
logistic_regression,compact_with_persistence,baseline_with_persistence,ai_compact_with_persistence,0.323062558356676,0.21202570757631936,-0.11103685078035666,0.22922824302134648,0.2007469654528478,-0.028481277568498692,0.3055555555555556,0.25,-0.05555555555555558
xgboost,compact_without_persistence,baseline,ai_compact,0.2849181469871125,0.17442719881744273,-0.11049094816966976,0.21666666666666667,0.2634920634920635,0.046825396825396826,0.3055555555555556,0.3611111111111111,0.055555555555555525
xgboost,compact_with_persistence,baseline_with_persistence,ai_compact_with_persistence,0.2787878787878788,0.17442719881744273,-0.10436067997043608,0.19130434782608696,0.23544973544973544,0.044145387623648474,0.2777777777777778,0.3055555555555556,0.02777777777777779
